"","pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"244","H5","2017",2017-01-01,"2017","6","1","2","Export","246","Finland","FIN","0","World","WLD",NA,"","","","","","","854370","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543","1","No Quantity",NA,"","0",NA,"486417",NA,70226719,NA,NA,"6"
"245","H5","2017",2017-01-01,"2017","6","1","2","Export","251","France","FRA","0","World","WLD",NA,"","","","","","","854370","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543","1","No Quantity",NA,"","0",NA,"143476",NA,25319743,NA,NA,"6"
"246","H5","2017",2017-01-01,"2017","6","1","2","Export","246","Finland","FIN","0","World","WLD",NA,"","","","","","","854390","Electrical machines and apparatus; parts of the electrical goods of heading no. 8543","8","Weight in kilograms",NA,"","210993",NA,"210993",NA,11473165,NA,NA,"6"
"247","H5","2017",2017-01-01,"2017","6","1","2","Export","251","France","FRA","0","World","WLD",NA,"","","","","","","854390","Electrical machines and apparatus; parts of the electrical goods of heading no. 8543","8","Weight in kilograms",NA,"","7592106",NA,"7592106",NA,100760729,NA,NA,"6"
"248","H5","2017",2017-01-01,"2017","6","1","2","Export","246","Finland","FIN","0","World","WLD",NA,"","","","","","","903082","Instruments and apparatus; for measuring or checking semiconductor wafers or devices","1","No Quantity",NA,"","0",NA,"348",NA,212749,NA,NA,"6"
"249","H5","2017",2017-01-01,"2017","6","1","2","Export","251","France","FRA","0","World","WLD",NA,"","","","","","","903082","Instruments and apparatus; for measuring or checking semiconductor wafers or devices","1","No Quantity",NA,"","0",NA,"28949",NA,7613740,NA,NA,"2"
"250","H5","2017",2017-01-01,"2017","6","1","2","Export","246","Finland","FIN","0","World","WLD",NA,"","","","","","","903141","Optical instruments and appliances; for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.c. in chapter 90","1","No Quantity",NA,"","0",NA,"118",NA,143571,NA,NA,"2"
"251","H5","2017",2017-01-01,"2017","6","1","2","Export","251","France","FRA","0","World","WLD",NA,"","","","","","","903141","Optical instruments and appliances; for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.c. in chapter 90","1","No Quantity",NA,"","0",NA,"20750",NA,4843462,NA,NA,"2"
"252","H5","2017",2017-01-01,"2017","6","1","2","Export","276","Germany","DEU","0","World","WLD",NA,"","","","","","","281111","Hydrogen fluoride (hydrofluoric acid)","8","Weight in kilograms",NA,"","64192144",NA,"64192144",NA,91574384,NA,NA,"6"
"253","H5","2017",2017-01-01,"2017","6","1","2","Export","268","Georgia","GEO","0","World","WLD",NA,"","","","","","","370790","Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use","8","Weight in kilograms",NA,"","3524",NA,"3524",NA,7534,NA,NA,"0"
