HS6,zero,positive,sigma
160413,0,0,-8.5574503
160414,0,0,-14.68274
160415,0,0,-13.017689
160416,1,0,-10.552169
160419,0,0,-13.323775
160420,0,0,-9.8400307
160430,0,0,-8.039607
160510,1,0,-6.3937478
160520,0,0,-7.2952366
160530,0,0,-4.6855965
160540,0,0,-3.6841264
160590,0,0,-9.9100313
170111,0,0,-4.5025373
170112,0,0,-6.2288356
170191,0,0,-3.9410129
170199,0,0,-2.9122021
170211,0,0,-6.4450226
170219,0,0,-6.545054
170220,0,0,-12.761253
170230,0,0,-4.9211149
170240,0,0,-3.602798
170250,0,0,-6.861918
170260,0,0,-.35459805
170290,0,0,-3.7717266
170310,0,0,-2.3357844
170390,0,0,-3.8665552
170410,0,0,-6.8754539
170490,0,0,-9.3933315
180100,1,0,
180200,0,0,-13.388795
180310,0,0,-14.136556
180320,1,0,-14.136556
180400,0,0,-19.937757
180500,0,0,-8.9616356
180610,0,0,-10.913343
180620,0,0,-6.2361894
180631,0,0,-10.04339
180632,0,0,-11.653462
180690,0,0,-10.384974
190110,0,0,-5.6912985
190120,0,0,-8.1712465
190190,0,0,-5.8257985
190211,0,0,-7.7836189
190219,0,0,-5.375174
190220,0,0,-5.5022678
190230,0,0,-2.4045036
190240,0,0,-7.2874689
190300,1,0,
190410,0,0,-8.2458906
190420,0,0,-8.0828743
190430,1,0,-6.6064396
190490,0,0,-3.4905534
190510,0,0,-6.9248314
190520,0,0,-2.1530857
190531,0,0,-9.6219912
190532,0,0,-9.3685608
190540,0,0,-12.53261
190590,0,0,-9.8763876
200110,0,0,-9.0668736
200190,0,0,-5.0603213
200210,0,0,-6.8892579
200290,0,0,-9.2493649
200310,0,0,-.63006699
200320,1,0,-1.9130795
200390,0,0,-3.1960921
200410,0,0,-11.052525
200490,0,0,-5.0364294
200510,0,0,-4.4805822
200520,0,0,-10.828943
200540,0,0,-4.1796017
200551,0,0,-7.6183882
200559,0,0,-4.7795916
200560,1,0,-7.2002311
200570,0,0,-13.545212
200580,0,0,-7.2986889
200591,0,0,-6.3736124
200599,0,0,-5.6974607
200600,0,0,-5.7424979
200710,0,0,-5.2898927
200791,0,0,-7.5249786
200799,0,0,-5.6412745
200811,1,0,-7.26267
200819,0,0,-9.0059938
200820,0,0,-4.7067957
200830,0,0,-8.6907806
200840,0,0,-8.783824
200850,0,0,-6.462605
200860,0,0,-8.2086267
200870,0,0,-7.6937256
200880,0,0,-7.0327005
200891,0,0,-7.0928383
200892,0,0,-8.3880577
200899,0,0,-3.8234239
200911,0,0,-4.9213343
200912,0,0,-3.174284
200919,1,0,-4.7411461
200921,1,0,-4.7411461
200929,1,0,-4.7411461
200931,1,0,-4.7411461
200939,1,0,-4.7411461
200941,0,0,-5.5977221
200949,0,0,-3.8173099
200950,0,0,-11.882818
200961,0,0,-3.3039856
200969,0,0,-3.3071036
200971,0,0,-3.8512626
200979,0,0,-4.8058615
200980,0,0,-4.1917901
200990,0,0,-3.2991343
210111,0,0,-9.1721582
210112,0,0,-3.5722017
210120,0,0,-3.9696159
210130,0,0,-2.8735144
210210,0,0,-6.6446104
210220,0,0,-4.2975988
210230,0,0,-10.333528
210310,0,0,-3.1273746
210320,0,0,-11.294141
210330,0,0,-6.022738
210390,0,0,-6.7913117
210410,0,0,-9.3972921
210420,0,0,-5.0768514
210500,0,0,-10.07233
210610,0,0,-2.4341435
210690,0,0,-1.3345842
220110,0,0,-7.2992878
