Worldwide Total  System Sales Sales,,,,,,,,
"(Total sales in $M, calendar year)",,,,,,,,
,,,,,,,,
AOW,MSTRID,COMPANY,2016,2017,2018,2019,2020,
EU,SETSA,Smart Equip Tech,2.0,2.0,2.0,1.5,1.4,
NA,ROOS,Roos Inst,1.3,1.4,1.5,1.4,1.4,
NA,SFS,SST Intl,2.8,2.7,2.6,1.4,1.3,
NA,TCHNC,Technic,5.2,5.6,4.4,1.1,1.3,
JA,MIZ,Athlete FA,1.5,1.7,1.5,1.2,1.2,
NA,DVI,Delta V Inst,1.6,1.6,1.7,1.2,1.1,
NA,NDY,Neu Dynamics,2.4,2.6,2.3,1.2,1.1,
NA,ULTRO,Ultron Sys,1.3,1.3,1.3,1.0,1.0,
NA,UIC,Universal Inst,1.5,1.6,1.5,1.0,1.0,
NA,ASYM,Nordson ASYMTEK,1.2,1.2,1.4,1.2,1.0,
JA,YAC,YAC,1.5,1.6,1.4,1.1,0.9,
JA,TCO,Testram,0.1,0.2,0.8,0.9,0.9,
NA,HYB,Hybond,1.1,1.1,1.3,0.8,0.9,
NA,NOVTK,Novtek,0.6,0.6,0.7,0.6,0.8,
CH,JUNO,Shanghai Juno El,0.9,0.9,0.8,0.7,0.7,
EU,MIGM,Microhandling,0.7,0.8,0.7,0.6,0.6,
NA,FDM,Four Dimensions,0.8,0.8,0.9,0.5,0.6,
NA,WNT,Wentworth Lab,0.7,0.7,0.7,0.6,0.6,
NA,ADM,Adv MicroTech,0.8,0.8,0.9,0.6,0.6,
EU,ITEST,ipTEST,0.6,0.6,0.6,0.5,0.5,
NA,SEC,Semi Equip,0.7,0.7,0.6,0.5,0.5,
EU,LBG,LAUFFER PRESSEN,0.6,0.6,0.7,0.5,0.5,
JA,WINT,Wintest,0.6,0.6,0.5,0.4,0.5,
NA,EXT,Exatron,0.8,0.9,0.9,0.5,0.5,
NA,FLO,Florod Sys,0.4,0.5,0.5,0.5,0.4,
NA,PRI,Probe-Rite,0.4,0.4,0.4,0.3,0.4,
NA,FET,FETtest,0.5,0.4,0.4,0.3,0.4,
NA,SPEED,Speedline,0.5,0.5,0.5,0.4,0.3,
JA,VSCL,Vector Semi,0.4,0.4,0.3,0.3,0.3,
NA,3MTS,3MTS,0.3,0.3,0.3,0.3,0.3,
NA,VTEK,V-Tek,0.5,0.4,0.4,0.3,0.3,
JA,DNKN,Denken,0.4,0.5,0.4,0.3,0.3,
EU,UTEST,UNITES Sys,0.2,0.2,0.2,0.2,0.2,
NA,SGN,Signatone,0.2,0.2,0.1,0.1,0.2,
NA,LMAI,LMO Test Sys,0.1,0.1,0.1,0.1,0.1,
JA,KKS,Kataken,0.4,0.4,0.4,0.1,0.1,
NA,PSL,Probing Sol,0.1,0.1,0.1,0.1,0.1,
NA,ZYGO,ZYGO,23.0,16.7,16.2,12.5,0.0,
EU,ANN,Annealsys,0.1,0.2,0.1,NA,NA,
KS,APET,Apet,1.3,1.5,1.4,NA,NA,
EU,CEAG,centrotherm,1.5,1.6,1.4,NA,NA,
NA,CHA,CHA Ind,1.1,1.1,1.1,NA,NA,
KS,CHARM,Charm Engineering,14.5,10.3,8.3,0.0,NA,
EU,CMC,Cameca,0.8,0.7,0.7,NA,NA,
NA,ENTGR,Entegris,1.7,1.6,1.5,NA,NA,
KS,FRM30,AT Technology,7.7,NA,NA,NA,NA,
NA,FRTE,Fortrend Eng,1.5,1.4,1.3,NA,NA,
JA,FUKI,Fujikoshi Machinery,6.7,6.8,6.8,NA,NA,
NA,GSC,Gaertner Scientific,0.3,0.3,0.4,NA,NA,
JA,HAMAI,Hamai,11.8,12.4,12.3,NA,NA,
KS,HECL,Hyundai Elevator,5.3,5.1,4.9,NA,NA,
EU,HSEB,HSEB,1.6,1.3,1.1,NA,NA,
NA,IMTC,Imtec Acculine,0.8,0.8,0.8,NA,NA,
EU,INNOL,Innolas Systems,1.6,1.5,1.4,NA,NA,
NA,JAW,J.A. Woollam,0.6,0.6,0.7,NA,NA,
NA,KDF,KDF,1.4,1.3,1.2,NA,NA,
JA,KOYL,Koyo Thermo Sys,1.1,1.2,1.0,NA,NA,
NA,MODUL,Modular Process Tech,0.1,0.1,0.1,NA,NA,
NA,MOLE,Molecular Imprints,1.9,1.7,1.6,NA,NA,
JA,MSEK,M. Setek,4.6,4.5,4.5,NA,NA,
NA,NBST,NBS Tech,10.6,9.8,9.9,NA,NA,
JA,NEMC,Nippon EMC,0.6,0.6,0.6,NA,NA,
EU,OCAT,Obducat,4.0,3.7,3.6,NA,NA,
JA,OTSUK,Otsuka Electronics,0.4,0.4,0.5,NA,NA,
NA,PAC,Pure Aire,13.6,13.8,12.2,NA,NA,
EU,PANA,PANalytical,5.2,5.5,5.4,NA,NA,
